id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,282.842712474619,0.0,8,282.842712474619,1343,1285
1,-361.2355007000768,330.92130942863866,10,489.89794855663564,1338,1206
2,55.29288323929455,-630.0338856467054,11,632.4555320336759,1339,1168
3,455.31395171637695,593.8764226439848,9,748.3314773547884,1336,1248
4,-835.5570995908553,-147.798285928212,10,848.528137423857,1336,1215
5,791.5126264445064,-503.49554335556866,11,938.083151964686,1332,1179
6,-264.74548330107626,984.8400017625603,8,1019.8039027185571,1329,1263
7,-504.8983486962067,-972.1510466403064,10,1095.445115010332,1331,1182
8,1095.4274585339322,400.0483509400966,8,1166.1903789690602,1337,1258
9,-1139.609737967606,470.41433346508956,10,1232.8828005937953,1336,1205
10,549.3671979928342,-1173.9657924188004,7,1296.148139681572,1329,1211
11,405.968385458012,1294.291184397319,9,1356.4659966250535,1331,1232
12,-1223.5934271502506,-709.0974016555869,10,1414.213562373095,1337,1220
13,1435.4143737162256,-315.57182340769293,7,1469.6938456699068,1327,1273
14,-876.0110477666577,1246.0355709973783,9,1523.1546211727816,1326,1211
15,-202.37883667439243,-1561.7435149429368,8,1574.801574802362,1333,1251
16,1242.4075610302405,1047.1024077399923,12,1624.807680927192,1327,1245
17,-1671.8911281142998,69.13794712525274,10,1673.3200530681513,1335,1178
18,1219.516236137059,-1213.5815381745476,7,1720.4650534085254,1338,1180
19,-81.59036092303978,1764.4667786627344,10,1766.352173265569,1337,1207
20,-1160.3736138345912,-1390.5153995251007,9,1811.0770276274832,1332,1215
21,1838.1599272484625,247.32181840251448,7,1854.7236990991405,1328,1283
22,-1557.469188690113,1083.6464950715986,9,1897.3665961010274,1333,1197
23,425.59016510953654,-1891.790953398931,7,1939.0719429665312,1328,1176
24,984.3679108598195,1717.8532580140468,10,1979.8989873223334,1331,1210
25,-1924.345081607972,-613.9185669868662,9,2019.9009876724156,1335,1176
26,1869.2563513304453,-863.6438461604355,11,2059.1260281974,1339,1145
27,-809.8085579003452,1934.9961497510437,8,2097.617696340303,1329,1248
28,-722.7362945061516,-2009.3910143631867,11,2135.415650406262,1334,1138
29,1923.123710328034,1010.7399243990194,7,2172.556098240043,1336,1249
30,-2136.106560077725,563.0708339036113,9,2209.072203437452,1333,1185
31,1214.1777112639816,-1888.3253124050846,10,2244.994432064365,1332,1201
32,386.23709897253383,2247.4031466066076,11,2280.3508501982756,1333,1177
33,-1830.4249849407029,-1417.5839920459136,10,2315.1673805580454,1332,1007
34,2341.4461762504484,-193.9840295543813,8,2349.4680248941463,1332,1219
35,-1618.432868506843,1749.4785080522454,10,2383.275057562597,1330,1161
36,11.78888944756869,-2416.580439812752,12,2416.6091947189148,1328,1153
37,1645.7758247350782,1814.227641371824,9,2449.489742783178,1339,1166
38,-2471.3435707263247,-229.04356666289436,7,2481.9347291981717,1335,1228
39,2002.5193850617638,-1519.8408181292725,7,2513.9610179953074,1338,1260
40,-455.61781924224306,2504.478469220476,8,2545.5844122715707,1335,1257
41,-1372.4286110631656,-2180.926341611571,8,2576.8197453450252,1338,1129
42,2514.944425715984,689.2420007226061,9,2607.68096208106,1334,1170
43,-2347.153667959255,1204.5205099895202,11,2638.1811916545835,1334,1139
44,927.557363714662,-2501.9267249499344,8,2668.3328128252665,1325,1229
45,1017.3167005873781,2499.013151367157,8,2698.147512646408,1335,1135
46,-2464.844554155424,-1168.1358327910118,9,2727.636339397171,1326,1206
47,2634.4425646860336,-812.2267992195721,8,2756.809750418044,1334,1199
48,-1408.5008967958397,2403.35707370447,9,2785.677655436824,1335,1199
49,-590.8583683678302,-2751.52437541987,12,2814.2494558940575,1337,1148
50,2317.3675393025796,1646.1493516041328,8,2842.534080710379,1329,1214
51,-2848.503555608564,355.0035122155417,11,2870.540018881465,1332,1181
52,1878.5736388484327,-2207.0253925643356,9,2898.275349237888,1336,1204
53,106.62367887691836,2923.8042668931776,10,2925.7477676655585,1332,1103
54,-2072.726262518298,-2103.2845363067086,10,2952.96461204668,1330,1190
55,2976.0452189828,152.16719281637484,9,2979.932885150268,1337,1218
56,-2317.833963453531,1915.1098448551963,9,3006.6592756745813,1335,1182
57,419.12103236676603,-3004.053521531834,9,3033.1501776206196,1326,1158
58,1735.0556488812797,2519.8376724077216,7,3059.411708155671,1329,1221
59,-3006.876870083137,-691.8753414879277,9,3085.4497241083022,1332,1201
60,2706.9976010161886,-1533.6766243548866,12,3111.269837220809,1335,1154
61,-967.9740710723754,2983.793926820613,12,3136.8774282716245,1332,1136
62,-1312.3107017538819,-2877.1236716662415,9,3162.2776601683795,1337,1066
63,2934.322776766964,1244.8894897727318,12,3187.4754901018455,1338,1134
64,-3028.1548269993273,1072.510300053418,12,3212.475680841802,1338,1106
65,1520.0448541895755,-2858.227359964877,7,3237.2828112477287,1326,1165
66,816.0298757645049,3158.179102245433,10,3261.9012860600187,1336,1183
67,-2755.521800196594,-1790.8376834993517,8,3286.335345030997,1330,1162
68,3265.4525435640976,-544.8116057232684,9,3310.58907144937,1334,1167
69,-2054.6634357079306,2626.4725709523177,7,3334.6664001066124,1340,1125
70,-260.96931385273626,-3348.4167926390573,8,3358.571124749333,1332,1197
71,2471.598459626669,2308.9393786695828,7,3382.3069050575527,1338,1190
72,-3405.7151698564603,-33.22923125171679,7,3405.87727318528,1334,1221
73,2551.128446642017,-2291.668311238319,10,3429.2856398964495,1337,1142
74,-335.38150563394566,3436.2071016862046,10,3452.5353003264136,1335,1150
75,-2087.6965532410836,-2778.7628725001528,12,3475.6294393965536,1332,1113
76,3438.9807523354984,642.970749774803,9,3498.571136907181,1333,1169
77,-2989.4673868372374,1860.9365231077975,7,3521.3633723318017,1328,1144
78,953.387649734766,-3413.3637352812575,8,3544.00902933387,1334,1165
79,1612.871640204301,3180.981778040341,7,3566.510900025402,1334,1125
80,-3358.9317968200744,-1263.952999249208,11,3588.8716889852726,1331,1077
81,3351.1826120367878,-1345.2044828881192,11,3611.0940170535578,1330,1051
82,-1571.9411527079772,3275.5153811916553,8,3633.1804249169895,1337,1127
83,-1059.8438506317445,-3498.1039167351905,8,3655.1333764994138,1331,1231
84,3163.204005009617,1874.6040709150068,11,3676.955262170047,1335,1021
85,-3619.956644188329,758.8899091414877,9,3698.648401781386,1333,1206
86,2169.195755194818,-3022.3483875365496,9,3720.2150475476546,1335,1153
87,444.6175337800496,3715.1467331258054,8,3741.657386773941,1336,1180
88,-2853.5603026257445,-2452.9968608374675,10,3762.9775444453558,1329,1141
89,3782.2916056676977,-119.45798297171075,8,3784.1775856849004,1335,1224
90,-2723.3392780971626,2657.7101377639415,10,3805.2595180880903,1332,1087
91,214.02095146626476,-3820.234944651111,9,3826.2252939417986,1337,1203
92,2435.922165437336,2977.630467994825,7,3847.076812334269,1334,1103
93,-3828.059611976054,-553.1361560752862,11,3867.815921162743,1333,1163
94,3213.377341042834,-2189.567551840428,11,3888.444419044716,1337,1095
95,-895.1115958986351,3805.098583596462,12,3908.9640571384134,1331,1080
96,-1920.2551475960652,-3428.20946969855,10,3929.3765408777,1329,1038
97,3750.9437931210127,1237.1017180680606,10,3949.6835316262996,1337,1085
98,-3619.9014298466755,1629.8201244904292,8,3969.886648255842,1333,940
99,1576.2156641733673,-3665.4527933141508,10,3989.9874686520006,1333,1081
